Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1210_3225Metric",121.739200,-101.764800,90.000000,top
"C2","10uF","C_1210_3225Metric",117.618200,-120.222800,180.000000,top
"C3","10uF","C_1210_3225Metric",117.589200,-113.414800,180.000000,top
"C4","10uF","C_1210_3225Metric",117.589200,-116.864800,180.000000,top
"C5","100nF","C_0805_2012Metric",120.989200,-118.714800,-90.000000,top
"C6","100nF","C_0805_2012Metric",126.789200,-119.102300,90.000000,top
"C7","10uF","C_1210_3225Metric",129.940200,-119.345400,-90.000000,top
"C8","10uF","C_1210_3225Metric",133.420000,-119.320000,-90.000000,top
"C9","2.2uF","C_0603_1608Metric",137.290700,-113.709800,-90.000000,top
"C10","2.2uF","C_0603_1608Metric",138.201400,-110.286800,0.000000,top
"C11","2.2uF","C_0603_1608Metric",152.196800,-99.491800,0.000000,top
"C12","100nF","C_0603_1608Metric",152.196800,-97.307400,180.000000,top
"C13","2.2uF","C_0603_1608Metric",155.651200,-99.491800,0.000000,top
"C14","100nF","C_0603_1608Metric",155.651200,-97.307400,180.000000,top
"C15","22pF","C_0603_1608Metric",146.024600,-107.721400,90.000000,top
"C16","22pF","C_0603_1608Metric",148.590000,-107.721400,90.000000,top
"C17","2.2uF","C_0603_1608Metric",151.155400,-106.121200,180.000000,top
"C18","100nF","C_0603_1608Metric",159.766000,-93.192600,0.000000,top
"C19","100nF","C_0603_1608Metric",143.510000,-77.368400,90.000000,top
"C20","100nF","C_0603_1608Metric",145.973800,-97.967800,-90.000000,top
"C21","100nF","C_0603_1608Metric",148.463000,-97.967800,-90.000000,top
"C22","100nF","C_0603_1608Metric",159.766000,-81.432400,0.000000,top
"C23","100nF","C_0603_1608Metric",141.300200,-95.707200,90.000000,top
"C24","2.2uF","C_0603_1608Metric",159.766000,-82.936600,180.000000,top
"C25","2.2uF","C_0603_1608Metric",145.110000,-76.170000,-90.000000,top
"C26","100nF","C_0603_1608Metric",143.281400,-108.686600,-90.000000,top
"C27","100nF","C_0603_1608Metric",132.156200,-109.905800,180.000000,top
"C28","100nF","C_0603_1608Metric",112.200000,-100.225000,180.000000,top
"C29","100nF","C_0603_1608Metric",134.670800,-96.291400,180.000000,top
"C30","100nF","C_0603_1608Metric",126.161800,-97.002600,-90.000000,top
"C31","100nF","C_0603_1608Metric",112.300000,-86.400000,180.000000,top
"C32","100nF","C_0603_1608Metric",162.610800,-78.714600,90.000000,top
"C33","100nF","C_0603_1608Metric",167.563800,-78.740000,-90.000000,top
